id,title,description,availability,condition,price,link,image_link,brand,product_type
kian-1,Coca-Cola | کوکاکولا,"Coca-Cola — Erfrischungsgetränke / نوشابه. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-1.jpg,Kian Markt,Erfrischungsgetränke > نوشابه
kian-2,Pepsi | پپسی,"Pepsi — Erfrischungsgetränke / نوشابه. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-2.jpg,Kian Markt,Erfrischungsgetränke > نوشابه
kian-3,Fanta | فانتا,"Fanta — Erfrischungsgetränke / نوشابه. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-3.jpg,Kian Markt,Erfrischungsgetränke > نوشابه
kian-4,Sprite | اسپرایت,"Sprite — Erfrischungsgetränke / نوشابه. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-4.jpg,Kian Markt,Erfrischungsgetränke > نوشابه
kian-5,7Up | سون‌آپ,"7Up — Erfrischungsgetränke / نوشابه. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-5.jpg,Kian Markt,Erfrischungsgetränke > نوشابه
kian-6,Red Bull | ردبول,"Red Bull — Erfrischungsgetränke / نوشابه. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-6.jpg,Kian Markt,Erfrischungsgetränke > نوشابه
kian-7,Monster Energy | مانستر,"Monster Energy — Erfrischungsgetränke / نوشابه. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-7.jpg,Kian Markt,Erfrischungsgetränke > نوشابه
kian-8,Zuckerfreie Erfrischungsgetränke | نوشابه بدون شکر,"Zuckerfreie Erfrischungsgetränke — Erfrischungsgetränke / نوشابه. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-8.jpg,Kian Markt,Erfrischungsgetränke > نوشابه
kian-9,Mineralwasser mit Kohlensäure | آب معدنی گازدار,"Mineralwasser mit Kohlensäure — Mineralwasser / آب معدنی. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-9.jpg,Kian Markt,Mineralwasser > آب معدنی
kian-10,Mineralwasser ohne Kohlensäure | آب معدنی بدون گاز,"Mineralwasser ohne Kohlensäure — Mineralwasser / آب معدنی. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-10.jpg,Kian Markt,Mineralwasser > آب معدنی
kian-11,Aromatisiertes Wasser | آب طعم‌دار,"Aromatisiertes Wasser — Mineralwasser / آب معدنی. Kian Markt, Luxemburger Str. 12, 50674 Köln.",in stock,new,,https://kian-market.vercel.app/shop,https://kian-market.vercel.app/catalog-images/kian-11.jpg,Kian Markt,Mineralwasser > آب معدنی
