id,price,product_de,product_fa,category
kian-1,,Coca-Cola,کوکاکولا,Erfrischungsgetränke / نوشابه
kian-2,,Pepsi,پپسی,Erfrischungsgetränke / نوشابه
kian-3,,Fanta,فانتا,Erfrischungsgetränke / نوشابه
kian-4,,Sprite,اسپرایت,Erfrischungsgetränke / نوشابه
kian-5,,7Up,سون‌آپ,Erfrischungsgetränke / نوشابه
kian-6,,Red Bull,ردبول,Erfrischungsgetränke / نوشابه
kian-7,,Monster Energy,مانستر,Erfrischungsgetränke / نوشابه
kian-8,,Zuckerfreie Erfrischungsgetränke,نوشابه بدون شکر,Erfrischungsgetränke / نوشابه
kian-9,,Mineralwasser mit Kohlensäure,آب معدنی گازدار,Mineralwasser / آب معدنی
kian-10,,Mineralwasser ohne Kohlensäure,آب معدنی بدون گاز,Mineralwasser / آب معدنی
kian-11,,Aromatisiertes Wasser,آب طعم‌دار,Mineralwasser / آب معدنی
kian-12,,Sunich Fruchtsaft,آبمیوه سن‌ایچ,Säfte / آبمیوه
kian-13,,Takdaneh Fruchtsaft,آبمیوه تکدانه,Säfte / آبمیوه
kian-14,,Rani Fruchtsaft,رانی,Säfte / آبمیوه
kian-15,,Fruchtiges Malzgetränk,دلستر میوه‌ای,Säfte / آبمیوه
kian-16,,Orangensaft,آب پرتقال,Säfte / آبمیوه
kian-17,,Mangosaft,آب انبه,Säfte / آبمیوه
kian-18,,Ananassaft,آب آناناس,Säfte / آبمیوه
kian-19,,Pfirsichsaft,آب هلو,Säfte / آبمیوه
kian-20,,Sauerkirschsaft,آب آلبالو,Säfte / آبمیوه
kian-21,,Granatapfelsaft,آب انار,Säfte / آبمیوه
kian-22,,Malzgetränk Zitrone,دلستر لیمویی,Malzgetränke / دلستر
kian-23,,Malzgetränk Pfirsich,دلستر هلو,Malzgetränke / دلستر
kian-24,,Malzgetränk Tropical,دلستر استوایی,Malzgetränke / دلستر
kian-25,,Malzgetränk Klassisch,دلستر کلاسیک,Malzgetränke / دلستر
kian-26,,Malzgetränk Ananas,دلستر آناناس,Malzgetränke / دلستر
kian-27,,Rosenwasser,گلاب,Kräuterdestillate / عرقیات
kian-28,,Minzdestillat,عرق نعناع,Kräuterdestillate / عرقیات
kian-29,,Moschusweiden-Destillat,عرق بیدمشک,Kräuterdestillate / عرقیات
kian-30,,Zichorien-Destillat,عرق کاسنی,Kräuterdestillate / عرقیات
kian-31,,Orangenblütenwasser,عرق بهارنارنج,Kräuterdestillate / عرقیات
kian-32,,Erdrauch-Destillat,عرق شاتره,Kräuterdestillate / عرقیات
kian-33,,Khakshir-Samen,خاکشیر,Kräuterdestillate / عرقیات
kian-34,,Basilikumsamen,تخم شربتی,Kräuterdestillate / عرقیات
kian-35,,Ahmad Tea,چای احمد,Tee & Kräutertee / چای و دمنوش
kian-36,,Do Ghazal Tee,چای دوغزال,Tee & Kräutertee / چای و دمنوش
kian-37,,Golestan Tee,چای گلستان,Tee & Kräutertee / چای و دمنوش
kian-38,,Mahmood Tee,چای محمود,Tee & Kräutertee / چای و دمنوش
kian-39,6.99,Schwarzer Tee,چای سیاه,Tee & Kräutertee / چای و دمنوش
kian-40,,Grüner Tee,چای سبز,Tee & Kräutertee / چای و دمنوش
kian-41,,Kamillentee,دمنوش بابونه,Tee & Kräutertee / چای و دمنوش
kian-42,,Borretschblüten-Tee,گل گاوزبان,Tee & Kräutertee / چای و دمنوش
kian-43,,Hibiskustee,چای ترش,Tee & Kräutertee / چای و دمنوش
kian-44,,Hashemi-Reis,برنج هاشمی,Reis / برنج
kian-45,8.49,Tarom-Reis,برنج طارم,Reis / برنج
kian-46,,Sadri-Reis,برنج صدری,Reis / برنج
kian-47,,Domsiah-Reis,برنج دم‌سیاه,Reis / برنج
kian-48,,Shirudi-Reis,برنج شیرودی,Reis / برنج
kian-49,,Fajr-Reis,برنج فجر,Reis / برنج
kian-50,,Indischer Basmati-Reis,برنج باسماتی هند,Reis / برنج
kian-51,,Pakistanischer Reis,برنج پاکستانی,Reis / برنج
kian-52,,Türkischer Reis,برنج ترکی,Reis / برنج
kian-254,,Shahan Darbari Basmati-Reis,برنج شاهان درباری,Reis / برنج
kian-53,,Pintobohnen,لوبیا چیتی,Hülsenfrüchte / حبوبات
kian-54,,Rote Bohnen,لوبیا قرمز,Hülsenfrüchte / حبوبات
kian-55,,Weiße Bohnen,لوبیا سفید,Hülsenfrüchte / حبوبات
kian-56,,Augenbohnen,لوبیا چشم‌بلبلی,Hülsenfrüchte / حبوبات
kian-57,,Linsen,عدس,Hülsenfrüchte / حبوبات
kian-58,,Gelbe Spalterbsen,لپه,Hülsenfrüchte / حبوبات
kian-59,,Kichererbsen,نخود,Hülsenfrüchte / حبوبات
kian-60,,Mungbohnen,ماش,Hülsenfrüchte / حبوبات
kian-61,,Sojabohnen,سویا,Hülsenfrüchte / حبوبات
kian-62,,Kurkuma,زردچوبه,Gewürze / ادویه‌جات
kian-63,,Schwarzer Pfeffer,فلفل سیاه,Gewürze / ادویه‌جات
kian-64,,Chilipulver,فلفل قرمز,Gewürze / ادویه‌جات
kian-65,,Zimt,دارچین,Gewürze / ادویه‌جات
kian-66,,Kardamom,هل,Gewürze / ادویه‌جات
kian-67,,Ingwer,زنجبیل,Gewürze / ادویه‌جات
kian-68,,Kreuzkümmel,زیره,Gewürze / ادویه‌جات
kian-69,,Sumach,سماق,Gewürze / ادویه‌جات
kian-70,,Golpar (Persischer Bärenklau),گلپر,Gewürze / ادویه‌جات
kian-71,,Safran,زعفران,Gewürze / ادویه‌جات
kian-72,,Thymian,آویشن,Gewürze / ادویه‌جات
kian-73,,Curry,کاری,Gewürze / ادویه‌جات
kian-74,,Knoblauchpulver,پودر سیر,Gewürze / ادویه‌جات
kian-75,,Zwiebelpulver,پودر پیاز,Gewürze / ادویه‌جات
kian-76,,Tomatenmark,رب گوجه‌فرنگی,Mark & Saucen / رب و چاشنی
kian-77,,Granatapfelmark,رب انار,Mark & Saucen / رب و چاشنی
kian-78,,Paprikamark,رب فلفل,Mark & Saucen / رب و چاشنی
kian-79,,Verjus,آبغوره,Mark & Saucen / رب و چاشنی
kian-80,,Zitronensaft,آبلیمو,Mark & Saucen / رب و چاشنی
kian-81,,Essig,سرکه,Mark & Saucen / رب و چاشنی
kian-82,,Mayonnaise,سس مایونز,Mark & Saucen / رب و چاشنی
kian-83,,Ketchup,کچاپ,Mark & Saucen / رب و چاشنی
kian-84,,Senf,خردل,Mark & Saucen / رب و چاشنی
kian-85,,Scharfe Sauce,سس تند,Mark & Saucen / رب و چاشنی
kian-86,,Knoblauchsauce,سس سیر,Mark & Saucen / رب و چاشنی
kian-87,,Salzgurken,خیارشور,Eingelegtes & Oliven / ترشیجات
kian-88,,Oliven,زیتون,Eingelegtes & Oliven / ترشیجات
kian-89,,Gemischtes Eingelegtes,ترشی مخلوط,Eingelegtes & Oliven / ترشیجات
kian-90,,Torshi Liteh,ترشی لیته,Eingelegtes & Oliven / ترشیجات
kian-91,,Eingelegter Knoblauch,سیر ترشی,Eingelegtes & Oliven / ترشیجات
kian-92,,Salzgemüse,شور,Eingelegtes & Oliven / ترشیجات
kian-93,,Nudeln,ماکارونی,Trockenwaren / مواد غذایی خشک
kian-94,,Ash-Nudeln,رشته آشی,Trockenwaren / مواد غذایی خشک
kian-95,,Reshteh Polowi,رشته پلویی,Trockenwaren / مواد غذایی خشک
kian-96,,Fadennudeln,ورمیشل,Trockenwaren / مواد غذایی خشک
kian-97,,Weizenmehl,آرد سفید,Trockenwaren / مواد غذایی خشک
kian-98,,Kichererbsenmehl,آرد نخودچی,Trockenwaren / مواد غذایی خشک
kian-99,,Reismehl,آرد برنج,Trockenwaren / مواد غذایی خشک
kian-100,,Speisestärke,نشاسته,Trockenwaren / مواد غذایی خشک
kian-101,,Hartweizengrieß,آرد سمولینا,Trockenwaren / مواد غذایی خشک
kian-102,3.49,Joghurt,ماست,Milchprodukte / لبنیات
kian-103,,Doogh (Joghurtgetränk),دوغ,Milchprodukte / لبنیات
kian-104,4.99,Iranischer Käse,پنیر ایرانی,Milchprodukte / لبنیات
kian-105,,Lighvan-Käse,پنیر لیقوان,Milchprodukte / لبنیات
kian-106,,Sahne,خامه,Milchprodukte / لبنیات
kian-107,,Milch,شیر,Milchprodukte / لبنیات
kian-108,,Butter,کره,Milchprodukte / لبنیات
kian-109,,Kashk,کشک,Milchprodukte / لبنیات
kian-110,,Pizzakäse,پنیر پیتزا,Milchprodukte / لبنیات
kian-111,3.29,Eier,تخم‌مرغ,Milchprodukte / لبنیات
kian-112,,Pflanzenöl,روغن مایع,Speiseöle / روغن
kian-113,,Frittieröl,روغن سرخ‌کردنی,Speiseöle / روغن
kian-114,,Olivenöl,روغن زیتون,Speiseöle / روغن
kian-115,,Sesamöl,روغن کنجد,Speiseöle / روغن
kian-116,,Butterschmalz,روغن حیوانی,Speiseöle / روغن
kian-255,,Alssad Pflanzen-Ghee 1 L,روغن نباتی السعد ۱ لیتر,Speiseöle / روغن
kian-256,,Alssad Pflanzen-Ghee 2 L,روغن نباتی السعد ۲ لیتر,Speiseöle / روغن
kian-258,,Khanum Pure Ghee 500 g,روغن حیوانی خانم ۵۰۰ گرم,Speiseöle / روغن
kian-117,,Lammfleisch,گوشت گوسفند,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-118,,Rindfleisch,گوشت گوساله,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-119,,Hähnchen,مرغ,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-120,,Jujeh Kabab,جوجه کباب,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-121,,Koobideh Kabab,کباب لقمه,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-122,,Halal Würstchen,سوسیس حلال,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-123,,Halal Aufschnitt,کالباس حلال,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-124,,Hamburger,همبرگر,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-125,,Hähnchenfilet,فیله مرغ,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-126,,Fisch,ماهی,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-127,,Garnelen,میگو,Halal Fleisch & Protein / گوشت و پروتئین حلال
kian-128,,Ghormeh-Kräuter,سبزی قورمه,Fertiggerichte / غذاهای آماده
kian-129,,Ash-Kräuter,سبزی آش,Fertiggerichte / غذاهای آماده
kian-130,,Kuku-Kräuter,سبزی کوکو,Fertiggerichte / غذاهای آماده
kian-131,,Röstzwiebeln,پیاز داغ,Fertiggerichte / غذاهای آماده
kian-132,,Gegrillte Auberginen,بادمجان کبابی,Fertiggerichte / غذاهای آماده
kian-133,,Kashk-e Bademjan,کشک بادمجان,Fertiggerichte / غذاهای آماده
kian-134,,Samanu,سمنو,Fertiggerichte / غذاهای آماده
kian-135,,Dolma (Gefüllte Weinblätter),دلمه,Fertiggerichte / غذاهای آماده
kian-136,,Ghormeh Sabzi Eintopf,خورش قورمه‌سبزی,Fertiggerichte / غذاهای آماده
kian-137,,Gheimeh Eintopf,خورش قیمه,Fertiggerichte / غذاهای آماده
kian-138,,Fesenjan,فسنجان,Fertiggerichte / غذاهای آماده
kian-139,,Iranische Konserven,کنسرو ایرانی,Fertiggerichte / غذاهای آماده
kian-257,,Amu Food Gebratene Kräuter,سبزی سرخ‌شده آمو فود,Fertiggerichte / غذاهای آماده
